product,date,sales
Solariba,140201,0
Solariba,140202,0
Solariba,140203,5
Solariba,140204,5
Solariba,140205,5
Solariba,140206,6
Solariba,140207,6
Solariba,140208,6
Solariba,140209,6
Solariba,140210,6
Solariba,140211,6
Solariba,140212,6
Solariba,140301,6
Solariba,140302,6
Solavis,140101,0
Solavis,140102,0
Solavis,140103,0
Solavis,140104,0
Solavis,140105,0
Solavis,140106,0
Solavis,140107,0
Solavis,140108,0
Solavis,140109,0
Solavis,140110,0
Solavis,140111,0
Solavis,140112,1
Solavis,140201,1
Solavis,140202,31
Solavis,140203,265
Solavis,140204,1060
Solavis,140205,1620
Solavis,140206,1660
Solavis,140207,1680
Solavis,140208,1680
Solavis,140209,1935
Solavis,140210,2465
Solavis,140211,3327
Solavis,140212,3709
Solavis,140301,4002
Solavis,140302,4083
SperiGen,139612,4
SperiGen,139701,8
SperiGen,139702,69
SperiGen,139703,226
SperiGen,139704,595
SperiGen,139705,1378
SperiGen,139706,2449
SperiGen,139707,3748
SperiGen,139708,4638
SperiGen,139709,5356
SperiGen,139710,5912
SperiGen,139711,6036
SperiGen,139712,6060
SperiGen,139801,6074
SperiGen,139802,6088
SperiGen,139803,6100
SperiGen,139804,6120
SperiGen,139805,6525
SperiGen,139806,7572
SperiGen,139807,9354
SperiGen,139808,11519
SperiGen,139809,13522
SperiGen,139810,14120
SperiGen,139811,15677
SperiGen,139812,19400
SperiGen,139901,20730
SperiGen,139902,23324
SperiGen,139903,26694
SperiGen,139904,30685
SperiGen,139905,36304
SperiGen,139906,43854
SperiGen,139907,51312
SperiGen,139908,59860
SperiGen,139909,71480
SperiGen,139910,82571
SperiGen,139911,91964
SperiGen,139912,99764
SperiGen,140001,106113
SperiGen,140002,115290
SperiGen,140003,125205
SperiGen,140004,135441
SperiGen,140005,144019
SperiGen,140006,155383
SperiGen,140007,166115
SperiGen,140008,179128
SperiGen,140009,192143
SperiGen,140010,204683
SperiGen,140011,218760
SperiGen,140012,231311
SperiGen,140101,241830
SperiGen,140102,261090
SperiGen,140103,276972
SperiGen,140104,295023
SperiGen,140105,308869
SperiGen,140106,329422
SperiGen,140107,344118
SperiGen,140108,362648
SperiGen,140109,382978
SperiGen,140110,403880
SperiGen,140111,420629
SperiGen,140112,433602
SperiGen,140201,443844
SperiGen,140202,469617
SperiGen,140203,490165
SperiGen,140204,511081
SperiGen,140205,530936
SperiGen,140206,546995
SperiGen,140207,561191
SperiGen,140208,592601
SperiGen,140209,609872
SperiGen,140210,627540
SperiGen,140211,645739
SperiGen,140212,662926
SperiGen,140301,673722
SperiGen,140302,681783
Stivant 100,139610,138
Stivant 100,139611,368
Stivant 100,139612,395
Stivant 100,139701,455
Stivant 100,139702,664
Stivant 100,139703,1918
Stivant 100,139704,2812
Stivant 100,139705,3675
Stivant 100,139706,4591
Stivant 100,139707,6380
Stivant 100,139708,8757
Stivant 100,139709,10544
Stivant 100,139710,12406
Stivant 100,139711,13609
Stivant 100,139712,14699
Stivant 100,139801,15764
Stivant 100,139802,16637
Stivant 100,139803,17835
Stivant 100,139804,19042
Stivant 100,139805,20182
Stivant 100,139806,21570
Stivant 100,139807,22330
Stivant 100,139808,23429
Stivant 100,139809,24582
Stivant 100,139810,25757
Stivant 100,139811,27077
Stivant 100,139812,28494
Stivant 100,139901,29701
Stivant 100,139902,31458
Stivant 100,139903,32988
Stivant 100,139904,34829
Stivant 100,139905,36813
Stivant 100,139906,39910
Stivant 100,139907,44032
Stivant 100,139908,47974
Stivant 100,139909,54980
Stivant 100,139910,60846
Stivant 100,139911,66577
Stivant 100,139912,71534
Stivant 100,140001,75038
Stivant 100,140002,78550
Stivant 100,140003,82778
Stivant 100,140004,87031
Stivant 100,140005,92981
Stivant 100,140006,99560
Stivant 100,140007,107252
Stivant 100,140008,111165
Stivant 100,140009,118503
Stivant 100,140010,123986
Stivant 100,140011,132131
Stivant 100,140012,139493
Stivant 100,140101,144130
Stivant 100,140102,151910
Stivant 100,140103,160088
Stivant 100,140104,166008
Stivant 100,140105,173682
Stivant 100,140106,181617
Stivant 100,140107,189714
Stivant 100,140108,199828
Stivant 100,140109,209485
Stivant 100,140110,220811
Stivant 100,140111,230033
Stivant 100,140112,240714
Stivant 100,140201,246306
Stivant 100,140202,255166
Stivant 100,140203,265103
Stivant 100,140204,277628
Stivant 100,140205,290561
Stivant 100,140206,299606
Stivant 100,140207,307322
Stivant 100,140208,315858
Stivant 100,140209,325460
Stivant 100,140210,333700
Stivant 100,140211,343700
Stivant 100,140212,351409
Stivant 100,140301,357058
Stivant 100,140302,359481
Stivant 400,139703,8
Stivant 400,139704,457
Stivant 400,139705,688
Stivant 400,139706,1190
Stivant 400,139707,2056
Stivant 400,139708,3003
Stivant 400,139709,3877
Stivant 400,139710,4963
Stivant 400,139711,5794
Stivant 400,139712,6520
Stivant 400,139801,6997
Stivant 400,139802,7915
Stivant 400,139803,8881
Stivant 400,139804,10342
Stivant 400,139805,11637
Stivant 400,139806,13325
Stivant 400,139807,14286
Stivant 400,139808,15347
Stivant 400,139809,16586
Stivant 400,139810,18007
Stivant 400,139811,18705
Stivant 400,139812,20105
Stivant 400,139901,21391
Stivant 400,139902,23798
Stivant 400,139903,25199
Stivant 400,139904,27432
Stivant 400,139905,29537
Stivant 400,139906,32155
Stivant 400,139907,35532
Stivant 400,139908,39067
Stivant 400,139909,44233
Stivant 400,139910,49327
Stivant 400,139911,53883
Stivant 400,139912,57374
Stivant 400,140001,60350
Stivant 400,140002,63430
Stivant 400,140003,66965
Stivant 400,140004,70671
Stivant 400,140005,72351
Stivant 400,140006,77325
Stivant 400,140007,83260
Stivant 400,140008,86338
Stivant 400,140009,91328
Stivant 400,140010,94715
Stivant 400,140011,101956
Stivant 400,140012,110098
Stivant 400,140101,114972
Stivant 400,140102,122379
Stivant 400,140103,130763
Stivant 400,140104,137085
